AVG(V.PERCENTAGE_PHYSICAL),AVG(V.PERCENTAGE_DIGITAL),WIDE_AREA_NAME,SUM(F.EXPENDITURE),ID_TIME,NAME
76.000000,26.000000,Yorkshire and The Humber,551,20232024,Heritage
75.000000,25.000000,South West (England),2689,20232024,Heritage
75.000000,26.000000,South West (England),569,20232024,Heritage
75.000000,19.000000,South West (England),555,20222023,Heritage
75.000000,21.000000,South West (England),-6672,20222023,Heritage
74.000000,26.000000,South East (England),745,20232024,Heritage
73.000000,20.000000,South East (England),2029,20222023,Heritage
73.000000,19.000000,South East (England),751,20222023,Heritage
73.000000,19.000000,Yorkshire and The Humber,317,20212022,Heritage
73.000000,19.000000,London,271,20222023,Heritage
72.000000,21.000000,South West (England),1241,20212022,Heritage
72.000000,17.000000,Yorkshire and The Humber,510,20222023,Heritage
72.000000,18.000000,North West (England),423,20222023,Heritage
72.000000,25.000000,North West (England),308,20232024,Heritage
71.000000,18.000000,East,1967,20222023,Heritage
71.000000,26.000000,West Midlands (England),1919,20232024,Heritage
71.000000,28.000000,London,-119,20232024,Heritage
71.000000,26.000000,South West (England),-8513,20232024,Heritage
70.000000,16.000000,West Midlands (England),1420,20222023,Heritage
70.000000,21.000000,South West (England),-374,20212022,Heritage
69.000000,18.000000,South West (England),2356,20222023,Heritage
69.000000,26.000000,South East (England),1453,20232024,Heritage
69.000000,25.000000,South East (England),1032,20232024,Heritage
69.000000,18.000000,South East (England),878,20222023,Heritage
69.000000,18.000000,South East (England),876,20222023,Heritage
69.000000,21.000000,South East (England),795,20212022,Heritage
69.000000,18.000000,London,766,20222023,Heritage
69.000000,25.000000,South West (England),141,20232024,Heritage
68.000000,21.000000,London,1455,20222023,Heritage
68.000000,17.000000,East Midlands (England),875,20222023,Heritage
68.000000,23.000000,South West (England),717,20212022,Heritage
68.000000,16.000000,Yorkshire and The Humber,372,20222023,Heritage
68.000000,19.000000,West Midlands (England),347,20222023,Heritage
68.000000,18.000000,South West (England),140,20222023,Heritage
67.000000,25.000000,East,1775,20232024,Heritage
67.000000,16.000000,East Midlands (England),1486,20222023,Heritage
67.000000,26.000000,London,1348,20232024,Heritage
67.000000,24.000000,East Midlands (England),1332,20232024,Heritage
67.000000,18.000000,East Midlands (England),1109,20222023,Heritage
67.000000,23.000000,South East (England),1036,20212022,Heritage
67.000000,21.000000,South East (England),870,20212022,Heritage
67.000000,18.000000,West Midlands (England),598,20212022,Heritage
67.000000,17.000000,East,295,20222023,Heritage
66.000000,24.000000,East,2501,20232024,Heritage
66.000000,27.000000,London,1467,20232024,Heritage
66.000000,19.000000,East,1190,20222023,Heritage
66.000000,26.000000,London,1142,20232024,Heritage
66.000000,24.000000,South East (England),987,20232024,Heritage
66.000000,16.000000,North East (England),794,20222023,Heritage
66.000000,25.000000,West Midlands (England),428,20232024,Heritage
66.000000,15.000000,North East (England),137,20222023,Heritage
66.000000,19.000000,North West (England),51,20222023,Heritage
65.000000,17.000000,East Midlands (England),1451,20212022,Heritage
65.000000,17.000000,North West (England),1300,20222023,Heritage
65.000000,24.000000,North East (England),1063,20232024,Heritage
65.000000,20.000000,North East (England),710,20212022,Heritage
65.000000,23.000000,Yorkshire and The Humber,406,20232024,Heritage
65.000000,24.000000,North West (England),95,20232024,Heritage
64.000000,15.000000,London,9982,20222023,Heritage
64.000000,23.000000,East Midlands (England),2855,20232024,Heritage
64.000000,22.000000,East Midlands (England),2669,20232024,Heritage
64.000000,22.000000,South East (England),1643,20212022,Heritage
64.000000,16.000000,Yorkshire and The Humber,1574,20222023,Heritage
64.000000,21.000000,London,927,20212022,Heritage
64.000000,19.000000,East Midlands (England),691,20212022,Heritage
64.000000,19.000000,South West (England),567,20212022,Heritage
64.000000,23.000000,London,48,20212022,Heritage
63.000000,20.000000,East,1349,20212022,Heritage
63.000000,19.000000,North West (England),934,20222023,Heritage
63.000000,24.000000,North West (England),639,20232024,Heritage
63.000000,21.000000,North East (England),564,20232024,Heritage
62.000000,20.000000,Yorkshire and The Humber,2531,20232024,Heritage
62.000000,19.000000,North West (England),2376,20212022,Heritage
62.000000,25.000000,North West (England),1782,20232024,Heritage
62.000000,18.000000,East,1068,20212022,Heritage
62.000000,16.000000,North West (England),660,20212022,Heritage
62.000000,23.000000,East,316,20232024,Heritage
62.000000,21.000000,Yorkshire and The Humber,280,20232024,Heritage
61.000000,25.000000,London,3468,20232024,Heritage
61.000000,25.000000,North West (England),2603,20232024,Heritage
61.000000,18.000000,North West (England),2253,20222023,Heritage
61.000000,28.000000,London,1062,20212022,Heritage
61.000000,17.000000,Yorkshire and The Humber,917,20222023,Heritage
61.000000,16.000000,Yorkshire and The Humber,744,20212022,Heritage
61.000000,15.000000,West Midlands (England),553,20222023,Heritage
61.000000,18.000000,West Midlands (England),292,20212022,Heritage
60.000000,17.000000,Yorkshire and The Humber,343,20212022,Heritage
60.000000,17.000000,North West (England),100,20212022,Heritage
60.000000,18.000000,North West (England),-537,20212022,Heritage
59.000000,21.000000,London,8602,20212022,Heritage
59.000000,17.000000,North East (England),35,20212022,Heritage
58.000000,24.000000,London,2720,20212022,Heritage
58.000000,18.000000,North West (England),1741,20212022,Heritage
57.000000,18.000000,London,2709,20222023,Heritage
57.000000,19.000000,East Midlands (England),1612,20212022,Heritage
57.000000,13.000000,Yorkshire and The Humber,811,20212022,Heritage
57.000000,18.000000,East,405,20212022,Heritage
56.000000,25.000000,West Midlands (England),499,20232024,Heritage
53.000000,16.000000,West Midlands (England),511,20212022,Heritage
